x_1,x_2,y,cluster
-29.807388806911952,-29.281965902731653,0,0
-29.63217623652795,-29.171875442961717,0,0
-30.210873967044435,-29.599007019528937,0,0
-29.912280367869755,-30.20959506254597,0,0
-30.029983895640356,-29.437011589519052,0,0
-29.362214016615834,-30.29031287115504,0,0
-29.40808925946419,-28.25862664892857,0,0
-28.874865666761917,-28.346717623392994,0,0
-30.029746010049365,-31.837047289256112,0,0
-30.141191855490916,-29.365395875180244,0,0
-29.76617676676041,-29.413337295290173,0,0
-29.404612116170995,-29.280434896752194,0,0
-29.982750565117538,-28.066161995398595,0,0
-29.036704370545436,-29.719328311633102,0,0
-28.294169039018854,-29.49535425628527,0,0
-31.395219971191377,-30.64579437935731,0,0
-30.071119458942654,-29.634148401174304,0,0
-29.371836474364628,-29.699871079609967,0,0
-29.510645356385886,-30.75152313549666,0,0
-29.905262970798894,-29.264895687210252,0,0
-29.829859916172687,-31.0721850659567,0,0
-30.79308832580478,-28.81484752752237,0,0
-31.107258453842118,-30.774687172053127,0,0
-30.953741851042885,-30.89173569020405,0,0
-30.40604455580145,-30.599942853501457,0,0
-31.267264740401952,-29.464464548509227,0,0
-28.16232463566141,-30.736226886178105,0,0
-30.023256562396206,-31.242442904596217,0,0
-29.600337637006803,-28.660181379945247,0,0
-30.244296250460014,-29.26408190092282,0,0
-28.340294633967808,-30.023852278405123,0,0
-28.26497483078961,-29.96966049701332,0,0
-30.90564314879127,-29.923936101044646,0,0
-29.61736393171227,-29.99045803293818,0,0
-29.929528679325628,-28.39879685347189,0,0
-31.225287160366427,-30.53801974341756,0,0
-31.4538272111009,-28.733085847520474,0,0
-29.15754016519777,-31.099963669439884,0,0
-30.56792641515837,-31.455794186917252,0,0
-31.26999353566839,-29.397366376545442,0,0
-31.231698242643123,-30.080198739604608,0,0
-30.738267482235102,-28.699643829128256,0,0
-30.628690100805876,-28.333359702757143,0,0
-30.360413416075843,-28.070736826318807,0,0
-30.952248012622334,-31.20861807237373,0,0
-29.312561964954252,-30.667451553084252,0,0
-30.797907886235333,-29.93695628962295,0,0
-30.137052778947204,-28.551777890008935,0,0
-29.723932746949796,-30.032798184996555,0,0
-28.48255307171179,-28.83654587389235,0,0
