x_1,x_2,y,cluster
-29.048985502924904,-28.420407832328145,0,900.0
-30.28151511951326,-30.914825849648384,0,900.0
-30.241329774619768,-30.222978174647928,0,900.0
-29.816796591729464,-28.8336778596794,0,900.0
-29.34048516633506,-29.408438742503186,0,900.0
-29.630630868166914,-30.104515179933447,0,900.0
-29.915700815753173,-29.93991152421069,0,900.0
-28.716773345692253,-28.97842068820652,0,900.0
-29.633500666572253,-29.629624132072724,0,900.0
-28.026995414368443,-29.839921161114425,0,900.0
-31.60793774929784,-29.051757731090113,0,900.0
-30.370134788837138,-30.09460394242935,0,900.0
-29.9631381900643,-30.81802654417468,0,900.0
-29.84699840118092,-30.065959983550123,0,900.0
-28.46498021183149,-30.657829439969316,0,900.0
-29.69228805335074,-29.81660928172327,0,900.0
-29.692749103755837,-29.26764087564522,0,900.0
-31.73767854597038,-30.794007041022056,0,900.0
-29.452125609668222,-31.64487359656285,0,900.0
-29.07569014957664,-28.29127736116644,0,900.0
-30.682788422653257,-30.139672820091263,0,900.0
-31.06160881758239,-29.91763152521143,0,900.0
-30.79242578092811,-31.404385263060945,0,900.0
-30.087260678497262,-30.929089832884856,0,900.0
-28.5468598419989,-30.69850435624491,0,900.0
-30.236371812392182,-30.649225516886347,0,900.0
-29.304772103626746,-29.15208159241153,0,900.0
-28.610082386652028,-29.541200682291603,0,900.0
-30.537827093335263,-28.541931015470002,0,900.0
-29.67095932610159,-29.977065315570957,0,900.0
-28.848802149586376,-28.88348476635694,0,900.0
-29.75885030968885,-31.026669373271808,0,900.0
-28.90419025765517,-29.726139707614315,0,900.0
-29.629862861770437,-30.833815002311553,0,900.0
-31.607506181179055,-30.512243665544457,0,900.0
-29.770195434515465,-28.962969706404902,0,900.0
-30.451994752396505,-30.964477875332655,0,900.0
-30.434967622989557,-31.45416497672309,0,900.0
-31.29309018075281,-29.209143099872808,0,900.0
-28.090567843686582,-30.091052194347256,0,900.0
-28.662477412814642,-29.92580379829666,0,900.0
-31.34605637182027,-28.714616404447455,0,900.0
-30.899210951247287,-31.024340414938315,0,900.0
-28.65404711248926,-29.91674496367605,0,900.0
-29.60487547200709,-29.927680145224784,0,900.0
-29.32932228102672,-28.755741837910044,0,900.0
-30.194645328019437,-29.32387540984732,0,900.0
-29.552514262573688,-28.762715382455355,0,900.0
-31.849208186896842,-30.54277475265285,0,900.0
-30.882857522791408,-28.61383001434549,0,900.0
-30.152542469948244,-30.55303232887279,0,900.0
-29.797888672076393,-29.910501416876517,0,900.0
-30.370481420337633,-30.797209531283656,0,900.0
-29.37815270631214,-29.28720270939805,0,900.0
-29.309807949457905,-29.555339667360037,0,900.0
-28.277649466904275,-29.949227431958278,0,900.0
-31.011363463396357,-29.734339200483593,0,900.0
-30.19281981620747,-29.80692964664973,0,900.0
-30.049429425612374,-30.79056848920413,0,900.0
-29.97670994147469,-30.874761936791735,0,900.0
-30.037425081618775,-28.42262572521108,0,900.0
-29.16670315442739,-30.44933834842756,0,900.0
-30.948622751627386,-29.114838024490034,0,900.0
-30.335339626218484,-31.715193676635995,0,900.0
-31.73863454749842,-29.624341787993245,0,900.0
-30.386206956034098,-29.220323703735648,0,900.0
-31.610278413999303,-29.157463551971613,0,900.0
-29.02067533410679,-29.62162245537777,0,900.0
-28.959342615166683,-30.598664399045344,0,900.0
-30.71047723993868,-31.066443596879736,0,900.0
-29.084476076488993,-29.643044401062575,0,900.0
-29.27991694928338,-29.963146115050915,0,900.0
-29.25032236016429,-28.802039978374268,0,900.0
-29.803724939908612,-30.014621719262244,0,900.0
-28.71843694723117,-30.295587863877103,0,900.0
-29.58852054952727,-29.469769224386567,0,900.0
-28.934327092510717,-28.784012369075217,0,900.0
-28.514292294998523,-30.46435035962186,0,900.0
-28.80427714853028,-31.394095343935327,0,900.0
-29.29192742591863,-30.95073856800641,0,900.0
-31.411109521642835,-30.45162391969337,0,900.0
-29.63149349668403,-28.488159457494874,0,900.0
-31.44311548277381,-30.215511855792712,0,900.0
-30.29200147407072,-29.6038870762423,0,900.0
-30.211091518019387,-29.167567931122658,0,900.0
-29.4783598138967,-30.172244896883544,0,900.0
-30.09428187259215,-29.829299207742707,0,900.0
-30.175591478981207,-30.5408617075605,0,900.0
-28.06016444421562,-29.588912377322725,0,900.0
-28.43617317246279,-29.826841782865657,0,900.0
-28.11588545755642,-29.941467037379354,0,900.0
-29.109819840499487,-30.61698643905283,0,900.0
-30.002335160955802,-29.546857669819655,0,900.0
-31.42256135379465,-29.091177869174246,0,900.0
-29.794518603240654,-31.650539338054624,0,900.0
-28.84001458533078,-29.62857474425326,0,900.0
-29.185476676448427,-30.437241808071253,0,900.0
-30.00882285944484,-29.256980485972594,0,900.0
-31.262177530747245,-29.680373867006185,0,900.0
-28.567719981358394,-29.106317865586348,0,900.0
-31.576637034832395,-28.95525508834974,0,900.0
-29.433401560365457,-28.70053640146363,0,900.0
-28.83874193209331,-29.88188623007316,0,900.0
-29.61873214375249,-28.070503427268406,0,900.0
-28.854611076251107,-29.46813917551599,0,900.0
-28.376918356214055,-30.56995198953198,0,900.0
-30.72912773811735,-29.055995373092554,0,900.0
-29.902893556612664,-31.419950935693336,0,900.0
-30.507785366808424,-30.32494391096555,0,900.0
-30.646819190859922,-30.787570753375235,0,900.0
-30.02710763954574,-28.748782355142833,0,900.0
-28.897568663209995,-29.811933379779063,0,900.0
-31.807485320715063,-29.164090608845985,0,900.0
-30.464063059253366,-31.523844193066203,0,900.0
-30.819269827111103,-31.6448823265314,0,900.0
-30.877117571240845,-29.849522827661445,0,900.0
-31.013324310508608,-30.941149117508957,0,900.0
-28.234634168420257,-29.772593429708117,0,900.0
-28.265565157001173,-30.238759121718058,0,900.0
-29.275952626305738,-29.96941397332726,0,900.0
-30.125637755660282,-30.650226481067133,0,900.0
-30.63670022423415,-30.526557221697274,0,900.0
-31.582924694790115,-29.565789170433796,0,900.0
-30.69265914067851,-31.601716070838584,0,900.0
-28.952322797423072,-30.42399700716251,0,900.0
-29.48188187934175,-29.849068198749322,0,900.0
-29.942312203518476,-31.304497425636956,0,900.0
-28.65116464007199,-29.569945047625758,0,900.0
-31.622980682950704,-29.46146670435146,0,900.0
-30.835370789144825,-31.80751757949436,0,900.0
-28.200934995746405,-29.276700658078067,0,900.0
-31.611955253874264,-30.900783810207987,0,900.0
-29.14789143874002,-29.61761512551257,0,900.0
-30.94896748898239,-29.018824793756874,0,900.0
-31.464738374255308,-29.61794088528719,0,900.0
-29.73059386026146,-30.845973794126554,0,900.0
-29.60722649341747,-30.583987080475854,0,900.0
-30.093982287173624,-30.60818427632131,0,900.0
-29.39871518184825,-28.998168817895166,0,900.0
-31.722810151906064,-29.941131137519484,0,900.0
-30.944862049383314,-31.24708178401431,0,900.0
-29.50711798542242,-29.020524239010214,0,900.0
-30.959293262367716,-30.020836049140225,0,900.0
-31.88646970672327,-29.990327261799663,0,900.0
-30.078571334940168,-31.8065472217109,0,900.0
-30.363125415091815,-28.169007023880244,0,900.0
-29.530749070659574,-28.162898849414805,0,900.0
-28.579750864320715,-30.695148114389426,0,900.0
-28.525861195858717,-31.158192041339994,0,900.0
-31.066007895476957,-30.633324645243786,0,900.0
-30.61047096691352,-28.403584576329536,0,900.0
-29.52893574605298,-29.32061361633346,0,900.0
-31.418726533457253,-29.25709489662697,0,900.0
-28.597464714587904,-30.5025053760552,0,900.0
-28.407705329693812,-30.527058628992837,0,900.0
-28.385597125744244,-30.103412527486096,0,900.0
-30.219942331698004,-29.738074272066683,0,900.0
-29.395086816339806,-31.345378339066627,0,900.0
-29.144738896054935,-30.54939693079284,0,900.0
-28.923078798148598,-29.445379803172145,0,900.0
-29.189584138674498,-30.26296713237954,0,900.0
-30.152422126170727,-31.226035345909235,0,900.0
-31.58762709640403,-30.309236261690305,0,900.0
-30.106805970553054,-28.931887670832285,0,900.0
-30.023060647428355,-28.434631307761677,0,900.0
-29.790364768061174,-28.20329081543052,0,900.0
-31.178378151405116,-29.16067979698893,0,900.0
-30.265154943687076,-28.918715584962424,0,900.0
-31.046598693390514,-30.162370681295968,0,900.0
-30.061289202045735,-30.192341241158392,0,900.0
-29.6653441397608,-31.15326645827029,0,900.0
-28.829986966849646,-31.16935534917905,0,900.0
-30.947212402299268,-31.10894634472445,0,900.0
-29.83245127893081,-28.64269529918419,0,900.0
-28.718421685351483,-30.469583507900314,0,900.0
-29.98523672286524,-28.94503961492601,0,900.0
-28.933708965621157,-30.29917975531053,0,900.0
-29.82910055153408,-30.887915541242304,0,900.0
-31.771502325821746,-30.45871586042389,0,900.0
-31.020073168726576,-29.246671525285635,0,900.0
-30.26381968175026,-31.370569582375364,0,900.0
-29.330944996809794,-30.4202140772717,0,900.0
-31.52062687088235,-29.977950389496176,0,900.0
-29.88062985095809,-30.50302209567133,0,900.0
-29.956971936585543,-29.764241621250513,0,900.0
-30.59705801620147,-31.53417734210462,0,900.0
-30.273633822526456,-29.2477275415605,0,900.0
-30.418911566596435,-31.47164327226972,0,900.0
-30.963289096504138,-29.996264976651148,0,900.0
-29.91380229677906,-28.686864954477052,0,900.0
-30.333380633290844,-30.465740155890206,0,900.0
-29.480738686065592,-31.23679979370162,0,900.0
-30.586088409863716,-31.15075525153439,0,900.0
-29.377142387892803,-30.851571802637768,0,900.0
-31.68802919088565,-29.572469637021342,0,900.0
-30.41742502559675,-29.81981805036386,0,900.0
-29.5577159351015,-30.337890551965042,0,900.0
-29.83944332197727,-29.246175572716123,0,900.0
-29.442579758717436,-28.99818984453327,0,900.0
-30.531312612506916,-28.658051309778912,0,900.0
